2026/03/02 17:35:00.767, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:00.868, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:00.968, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:01.068, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:01.169, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:01.269, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:01.369, P0, 27.62 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:01.470, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:01.570, P0, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:01.671, P0, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:01.771, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:01.871, P0, 28.13 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:01.972, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:02.072, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:02.172, P0, 27.64 W, 210 MHz, 1215 MHz, 31
2026/03/02 17:35:02.273, P0, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:02.373, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:02.473, P0, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:02.574, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:02.674, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:02.774, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:02.875, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:02.975, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.075, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.175, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.276, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.376, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.476, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.577, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.677, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.777, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.878, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:03.978, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.078, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.179, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.279, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.379, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.480, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.580, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.680, P0, 28.13 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.781, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.881, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:04.981, P0, 27.62 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:05.082, P0, 27.64 W, 210 MHz, 1215 MHz, 30
2026/03/02 17:35:05.182, P0, 27.64 W, 210 MHz, 1215 MHz, 30
